Telecom/Networking,Protocol code + network config,"Routing config, protocol implementation, network automation",Network engineer,"Detects config drift, validates topology","Cisco AI Assistant, custom network-config agents",Change-control gating on live network pushes
Supply Chain/Logistics,Optimization code + system integration,"Route optimization, inventory sync, EDI integration",Logistics/supply chain analyst,"Monitors inventory sync, drafts optimized routing","o9 Solutions AI agents, Blue Yonder AI, custom pipeline agents",Exception-based human review
Content/CMS,Templating + content pipeline code,"Headless CMS integration, content modeling, publishing workflows",Content ops / web producer,"Manages content sync, auto-tags/categorizes","Contentful AI, Claude Code + CMS APIs",Auto-tagging with human editorial review
Martech/AdTech,Tracking/pixel code + campaign automation,"Tag management, attribution logic, campaign config",Marketing ops engineer,"Manages tag deployment, runs A/B test analysis","Claude Code + tag-management APIs, custom attribution agents",A/B test result validation before rollout
SCADA/ICS (Industrial Control Systems),"Ladder logic, control system programming","PLC/RTU programming, HMI screens, alarm logic",Controls engineer,Drafts logic/HMI screens in simulation,"Mostly custom-built (safety-critical, few off-the-shelf agentic tools)","Simulation/digital-twin validation, strict human sign-off"
PLC/DCS Automation,Industrial controller programming,"Motion/process control sequences, interlocks",Automation engineer,Validates logic in digital twin before deployment,"Mostly custom-built + vendor copilots emerging (Siemens, Rockwell)",Digital-twin validation before controller deploy
Manufacturing Execution Systems (MES),Shop-floor software + system integration,"Work order tracking, OEE calculation, machine integration",Plant/process engineer,"Monitors OEE/downtime patterns, drafts root-cause analysis",Custom agents on MES data (Siemens Opcenter AI features emerging),OEE-monitoring agents with human root-cause review
Building Management Systems (BMS),HVAC/facility control logic + integration,"Energy optimization rules, sensor integration, alarm config",Facilities/energy engineer,Tunes energy-optimization rules based on usage patterns,"Custom agents (vendor AI features emerging: Honeywell, Johnson Controls)",Continuous tuning with override capability
Energy/Utility Grid Systems,Grid control software + telemetry integration,"SCADA telemetry processing, demand response logic",Grid operations analyst,"Analyzes telemetry for anomalies, drafts demand-response recommendations","Custom agents (utility-specific, mostly proprietary/in-house)",Human-controlled grid actuation
Industrial IoT (IIoT),Sensor/edge device code + data pipelines,"Predictive maintenance models, edge analytics, telemetry pipelines",Reliability/maintenance engineer,"Builds/monitors predictive-maintenance pipelines, flags anomalies","Custom predictive-maintenance agents (PTC ThingWorx AI, Siemens)",Anomaly-flagging with human maintenance review
Digital Twin Engineering,Simulation modeling + integration code,"Physics-based models, real-time sync with physical assets",Simulation engineer,"Runs ""what-if"" simulations continuously","NVIDIA Omniverse, custom simulation agents",Scenario testing isolated from live assets
OT/Industrial Cybersecurity,Network segmentation + monitoring config,"Asset inventory, anomaly detection rules, patch management",OT security analyst,"Monitors for anomalous OT traffic, drafts patch/segmentation recommendations","Claroty, Dragos AI-assisted monitoring",Human sign-off before live network changes
Transportation/Fleet OT,Vehicle telematics + control integration,"Fleet tracking, predictive maintenance, route/fuel optimization",Fleet operations analyst,Optimizes routing and predicts maintenance,"Samsara AI, custom fleet-optimization agents","Predictive maintenance flagging, human dispatch decisions"
